ComCd,EndDt,CashEqv,AccRec,OthRecIntrDivid,Inventories,OthCurrAss,TotCurrAss,TotalFixAss,IntangAss,TotNCurrAss,TotAss,AccPay,TotCurLia,TotNCurLia,TotLiab,PaidCap,CapResFund,RetainProf,TotShareEquit,TotLiabEquit,TotOpRev,OpRev,TotOpCost,RDExp,OpProf,TotProf,NetProf,NetProfContOper,BasicEPS,NetOpCashFl,NetInvCashFl,NetFinanCashFl,NetProf,FixAssDepr,DeferTaxDecr,InventDecr,BasicEPS,ROE,ROA,EBIT,Opeprfrt,Currt,Qckrt,CashRt,Netprfgrrt,Totassgrrt,ARTrat,Currat,Dbastrt,EqumulDP
C000156,2019/12/31,5336701158,710873638.6,45431743.89,55874303.41,2979934585,9596728966,3048240229,375133088.1,6126878714,15723607680,1316520908,3284847527,1436080269,4720927796,1541929782,6259368103,2908724919,11002679884,15723607680,3710664686,3710664686,3173651510,115349433.4,668817683.4,664943470.1,645535340,645535340,0.45,1642303314,292084763.8,-315337418.4,645535340,333471735.9,123062.56,-2733367.77,0.45,5.8671,4.2379,531528702.4,18.0242,2.9215,2.9045,172.4767,0.2091,6.6662,5.316,0.4,30.0245,1.4072
C000156,2020/12/31,5641374330,1273839384,145520791.5,1090325253,1347217608,10487914941,8036610791,504544281.9,12952599059,23440514000,2757388538,6646052904,2906180800,9552233704,1961510322,8941263459,2287545536,13888280296,23440514000,7577647860,7577647860,6744597513,190637686.1,951077955.9,942359874.9,951714202.3,951714202.3,0.56,1922057078,-1328202558,-2562911643,951714202.3,675902243.6,-2983914.68,-411866875.8,0.56,6.2303,4.8601,771935827.4,12.5511,1.5781,1.414,88.0607,1.1422,-3.9338,6.2703,0.6598,40.751,1.8072
C000156,2021/12/31,7023522347,1378734085,231368308.3,1284848643,839059848.6,11703430519,8578032419,551257727.9,13897054357,25600484876,3326074034,7772456512,3323932391,11096388903,1961510322,8930570678,2838497350,14504095973,25600484876,8483660931,8483660931,7700048623,371631175.4,934931934.3,929579939.9,926756822.7,926756822.7,0.49,2806443620,-2721109122,-379797882.7,926756822.7,715007198.2,-3449247.82,-258583011.5,0.49,6.4188,3.7795,777533579.5,11.0204,1.5058,1.3404,91.1664,-2.6224,7.4169,6.3966,0.765,43.3444,1.7866
C000564,2019/12/31,5822237487,659186842.4,2730090135,5943330843,9899154136,29225839709,4028294712,1059454562,23228370532,52454210241,3051069390,17687911075,4273675406,21961586481,6007828231,24442435950,-1181284153,30492623759,52454210241,5829365359,5760177411,6710126706,10941915.32,-933125960.2,-983665377.8,-1298042085,-1298042085,-0.2,442377942.1,-7795257477,-1334892586,-1298042085,220902099.6,-29333873.2,393865541.7,-0.2031,-4.0823,-2.4053,-401237345.1,-16.1996,1.6523,1.3163,32.917,-272.3077,-6.0571,9.5199,0.1952,41.8681,1.766
C000564,2020/12/31,767653367.7,106428964.4,19718805348,5740587927,216602708.6,26661277524,3715901481,948408273.2,20311395419,46972672943,2931902055,17333489606,3789340867,21122830473,5982004024,24468260157,-5720476737,25849842469,46972672943,2210632902,2209308637,3389192815,12294388.5,-4618546992,-4631766140,-4606033966,-4606033966,-0.76,173660422.2,-1093744088,217428643.5,-4606033966,192863847.8,75058018.96,210290575.7,-0.7569,-17.9308,-9.2652,-4018446868,-209.0494,1.5381,1.207,4.4306,-254.8447,-10.4501,5.7713,0.0791,44.9683,1.801
C000564,2021/12/31,523621840.8,154847853,3479977609,5439266713,160465796.3,10273142993,3488167740,925177813.9,16758094879,27031237872,1246551000,5396560181,8919013857,14315574038,19163777335,15756324003,-6404094437,12715663833,27031237872,1669594157,1663431676,2361614484,10932992.36,-922845280.1,-1100186072,-720723438.2,-720723438.2,-0.04,-376173371.4,556839198.9,-116542432.6,-720723438.2,185954865.1,-5726355.09,162237412.1,-0.0359,-5.6272,-1.9478,-912856415.3,-55.4784,1.9036,0.8957,9.7109,84.3526,-42.7158,12.7331,0.0905,52.9594,1.9775
C000607,2019/12/31,800225004.2,381229929.9,90184821.22,27040166.52,61523972.77,1588158814,171508899.4,83516279.71,1974537122,3562695936,251632271.1,1372944164,207025083.1,1579969247,1017698410,-232321322.7,878537971.6,1982726690,3562695936,1822062333,1822062333,1734291126,14847838.93,54823677.37,64754818.36,57890761.59,57890761.59,0.02,219253227.6,-110289846.7,-79706429.52,57890761.59,24102352.94,-1277428.19,14835096.71,0.02,1.1383,1.6998,78443854.54,3.0089,1.1568,1.1371,71.634,-62.5076,2.2962,4.8887,1.1592,44.3476,1.9433
C000607,2020/12/31,754768332.4,309771936,80405445.9,20734060.59,102172257.2,1413463601,151478399.6,79644852.15,1810197445,3223661046,281163642.5,1449160298,204610507,1653770805,1017698410,-193990435.1,538397254.7,1569890241,3223661046,1666381187,1666381187,1686107517,11492882.06,-368264906.5,-367354870.5,-371152632.6,-371152632.6,-0.33,216643707.1,-221484121.7,-25895090.18,-371152632.6,22153073.59,1106968.14,6181866.92,-0.33,-25.0024,-10.9382,-338402081.5,-22.0997,0.9754,0.9611,59.521,-741.1258,-9.5162,4.8231,1.1103,51.301,2.2462
C000607,2021/12/31,663393640,334923202.7,46430804.84,36825337.06,188988373.3,1509390052,137834856.2,79083450.09,2310683941,3820073993,358575621.7,1766891283,319061837.5,2085953121,1017698410,-192381817.2,655714886.9,1734120872,3820073993,1965123582,1965123582,1931889450,10231104.58,135247096,130345506.9,128832079.9,128832079.9,0.12,334195871.1,-208426574.6,-229292899.2,128832079.9,29328278.98,-139893.53,-16091276.47,0.12,7.902,3.6581,181838993,6.8824,0.8543,0.8334,46.1012,134.7113,-3.1322,6.0963,1.3713,54.605,2.7289
C000639,2019/12/31,2302822092,359796221.3,16708537.57,676959857.6,96460937.72,3523329796,661012537.8,3339956048,4616800094,8140129890,356913859.1,2427082326,1612367772,4039450098,1079428095,1674745139,566024009,4100679792,8140129890,5727004024,5727004024,5129102366,95138821.21,-1106972602,-1125976874,-963027102.1,-963027102.1,-0.7,393179862.9,-4513097.32,-470439553.8,-963027102.1,52972432.71,-27048305,-47893983.38,-0.7,-21.2784,-10.4564,-931661504.7,-19.329,1.4517,1.1728,94.8803,-280.9871,-20.7378,14.3864,1.5017,49.6239,2.3305
